,study,wave,version,versn_s,doi_gesis,doi_wvsa,studytit,uniqid,intrvwr_id,cntry,cntry_an,cntrycow,year,fw_start,fw_end,cntry_y,mode,mm_mixed_mode_evs5,mm_mode_fu_evs5,mm_matrix_group_evs5,mm_fw_start_fu_evs5,mm_fw_end_fu_evs5,mm_year_fu_evs5,ivlength,ivstart,ivstend,ivdate,mm_v277_fu_evs5,mm_v278a_fu_r_evs5,mm_v279a_fu_r_evs5,lnge_num,lnge_iso,gwght,pwght,wght_eq1000,reg_nuts1,reg_nuts2,reg_iso,size_5c,respint,a001,a002,a003,a004,a005,a006,a008,a009,a170,a173,a027,a029,a030,a032,a034,a035,a038,a039,a040,a041,a042,a065,a066,a067,a068,a071,a072,a074,a078,a079,a080_01,a080_02,a124_02,a124_03,a124_06,a124_08,a124_09,a165,b008,c001,c001_01,c002,c002_01,d081,d026_03,d026_05,c038,c039,c041,d001_b,g007_18_b,g007_33_b,g007_34_b,g007_35_b,g007_36_b,d054,d059,d060,d061,d078,e001,e002,e003,e004,y002,e012,e015,e018,e023,e025,e026,e027,e028,e033,e035,e036,e037,e039,e069_01,e069_02,e069_04,e069_05,e069_06,e069_07,e069_08,e069_18a,e069_18,e069_11,e069_12,e069_13,e069_14,e069_17,e069_20,e111_01,e114,e115,e116,e117,e179_wvs7,e181_evs5,e224,e225,e226,e227,e228,e229,e233,e233a,e233b,e235,e236,e263,e264,e265_01,e265_02,e265_03,e265_04,e265_05,e265_06,e265_07,e265_08,f025,f028,f028b_wvs7,f066_evs5,f034,f050,f051,f053,f054,f063,f114a,f115,f116,f117,f118,f119,f120,f121,f122,f123,f132,e290,f144_02,g005,g006,g052,g062,g063,g255,g256,g257,h009,h010,h011,x001,x002,x003,x003r,x003r2,g027a,x002_02a,x002_02b,v002,v002a,v002a_01,v001,v001a,v001a_01,x007,x026_01,x011,x013,x025a_01,x025r,w002a_01,w002r,v004am_01,v004rm,v004af_01,v004rf,x028,w003,x052,x035_evs5,x036e_wvs7,v097ef,w005_evs5,w006e_wvs7,x047_wvs7,x047e_evs5
26606,1,5,4-0-0 (2022-12-14),5-0-0 (2022-05-16),doi:10.4232/1.14023,doi:10.14281/18241.21,EVS5,348050001,15,348,HU,310,2018,201802,201808,3482018,1,5,-3,-3,-3,-3,-3,46,9.55,10.41,20180215,-3,-3.0,-3.0,184,hu,1.20023521759847,0.534134346103038,0.660501981505945,HU3,HU31,-4,2,2,1,2,2,3,2,1,3,4,3,4,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,2,2,1,2,1,1,4,2,2,2,1,2,1,1,2,3,3,3,4,2,3,2,2,2,4,1,3,1,0,1,1,3,2,3,3,3,10,7,5,8,7,1,2,4,2,2,2,2,3,3,2,4,3,3,2,3,9,2,2,3,1,-4,34802,7,8,9,9,5,7,7,6,10,10,10,1,1,1,3,2,3,4,2,3,3,1,1,-4,1,1,1,1,1,1,10,1,6,1,2,1,2,1,7,3,3,3,1,1,1,2,1,4,4,1,1,2,3,3,3,2,1940,78,6,3,1,348.0,HU,1,348,HU,1,348,HU,5,1,2,1,2,1,-3,-3,3,2,3,2,4,-3,1,-1,-4,9,-3,-4,-4,1
26607,1,5,4-0-0 (2022-12-14),5-0-0 (2022-05-16),doi:10.4232/1.14023,doi:10.14281/18241.21,EVS5,348050002,34,348,HU,310,2018,201802,201808,3482018,1,5,-3,-3,-3,-3,-3,59,12.38,13.37,20180215,-3,-3.0,-3.0,184,hu,1.36069178080943,0.534134346103038,0.660501981505945,HU3,HU32,-4,1,1,1,1,1,3,2,1,2,3,8,7,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2,1,2,5,1,1,3,3,1,2,2,4,1,2,2,3,3,3,1,3,4,4,4,1,3,1,3,1,0,2,2,3,1,3,3,3,8,6,2,4,4,1,2,3,3,2,2,2,3,3,2,3,2,2,2,2,7,4,3,3,1,-4,34802,8,8,8,7,2,8,10,1,5,10,8,1,1,1,4,4,4,4,1,4,4,2,3,-4,2,1,1,0,1,1,8,1,2,1,1,8,2,8,8,8,2,7,1,1,1,1,2,2,2,3,3,2,1,3,3,2,1993,25,2,1,1,348.0,HU,1,348,HU,1,348,HU,6,1,0,3,3,2,-3,-3,6,3,5,3,6,-3,-1,-2,-4,1,-3,-4,-4,-1
26608,1,5,4-0-0 (2022-12-14),5-0-0 (2022-05-16),doi:10.4232/1.14023,doi:10.14281/18241.21,EVS5,348050003,63,348,HU,310,2018,201802,201808,3482018,1,5,-3,-3,-3,-3,-3,64,17.31,18.35,20180216,-3,-3.0,-3.0,184,hu,0.584287750723794,0.534134346103038,0.660501981505945,HU2,HU23,-4,2,3,2,1,2,4,-2,2,3,2,6,7,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,2,5,3,3,1,5,1,2,4,4,1,2,2,3,3,3,2,4,4,4,4,3,4,4,2,3,0,2,3,2,1,3,1,3,5,3,4,6,9,2,3,3,3,2,3,2,3,3,3,4,4,2,3,2,6,3,1,4,1,-4,34811,6,1,8,5,2,6,7,6,6,8,5,1,1,2,3,3,3,2,2,3,3,1,2,-4,1,1,1,1,0,0,8,3,4,1,7,10,4,6,6,7,6,8,2,1,1,3,3,3,4,2,3,3,2,3,3,1,1998,20,1,1,1,348.0,HU,1,348,HU,1,348,HU,6,2,0,3,3,2,-3,-3,3,2,3,2,6,-3,1,-2,-4,4,-3,-4,-4,6
26609,1,5,4-0-0 (2022-12-14),5-0-0 (2022-05-16),doi:10.4232/1.14023,doi:10.14281/18241.21,EVS5,348050004,15,348,HU,310,2018,201802,201808,3482018,1,5,-3,-3,-3,-3,-3,45,12.03,12.48,20180216,-3,-3.0,-3.0,184,hu,0.843597075242747,0.534134346103038,0.660501981505945,HU3,HU31,-4,2,2,1,1,1,1,1,1,2,3,7,10,1,0,1,0,1,0,0,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,2,1,2,5,1,1,5,1,1,1,1,4,1,2,2,2,2,2,1,2,4,3,4,1,4,3,2,2,1,1,1,1,1,2,1,2,9,4,6,1,4,2,2,3,3,2,2,2,3,3,2,3,3,3,2,3,7,4,3,4,1,-4,34802,10,6,10,6,1,9,10,9,10,10,10,1,1,1,4,2,4,3,1,4,4,2,3,-4,2,1,1,1,1,1,10,2,5,1,5,5,2,3,10,10,1,10,1,8,1,1,2,1,1,1,2,1,1,4,4,1,1995,23,1,1,1,348.0,HU,1,348,HU,1,348,HU,6,2,0,5,3,2,-3,-3,6,3,3,2,6,-3,1,41,-4,7,-3,-4,-4,10
26610,1,5,4-0-0 (2022-12-14),5-0-0 (2022-05-16),doi:10.4232/1.14023,doi:10.14281/18241.21,EVS5,348050005,63,348,HU,310,2018,201802,201808,3482018,1,5,-3,-3,-3,-3,-3,37,10.38,11.15,20180216,-3,-3.0,-3.0,184,hu,0.891499042046379,0.534134346103038,0.660501981505945,HU2,HU23,-4,2,2,1,1,2,4,2,4,2,2,9,10,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,2,5,3,3,1,4,2,3,4,5,2,2,2,3,2,2,3,2,3,3,3,3,4,2,4,3,0,1,1,4,2,3,2,3,-1,5,-1,-1,5,4,3,3,3,3,4,4,2,2,4,4,2,1,3,2,1,4,2,3,2,-4,34809,5,5,10,5,1,10,0,0,0,10,1,4,4,4,3,1,1,3,2,1,2,0,6,-4,7,2,0,1,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,1,3,3,1,1,2,3,1,4,4,4,2,1999,19,1,1,1,348.0,HU,1,348,HU,1,348,HU,6,1,0,3,2,1,-3,-3,3,2,3,2,1,-3,3,-1,-4,-2,-3,-4,-4,-1
26611,1,5,4-0-0 (2022-12-14),5-0-0 (2022-05-16),doi:10.4232/1.14023,doi:10.14281/18241.21,EVS5,348050006,63,348,HU,310,2018,201802,201808,3482018,1,5,-3,-3,-3,-3,-3,-5,16.08,13.31,20180217,-3,-3.0,-3.0,184,hu,0.692025869742171,0.534134346103038,0.660501981505945,HU2,HU23,-4,3,1,1,1,2,4,1,-2,2,3,5,8,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,1,0,1,1,3,2,5,1,2,-1,4,2,2,3,4,1,2,2,2,2,2,2,4,4,4,4,3,1,4,2,3,-1,3,3,2,1,2,1,-1,5,6,5,5,5,4,3,4,-1,2,4,3,2,2,4,4,-1,2,-1,2,1,4,2,4,1,-4,-2,5,1,10,5,0,10,10,3,1,10,3,1,1,2,-1,1,2,4,2,-1,-1,1,8,-4,7,2,-1,-2,-2,-2,2,1,6,1,1,-2,5,5,5,5,1,6,5,4,1,3,4,2,2,2,3,2,2,4,4,1,1977,41,3,2,1,348.0,HU,1,348,HU,1,348,HU,6,-2,0,2,6,3,-3,-3,4,2,3,2,3,-3,-3,26,-4,7,-3,-4,-4,-2
26612,1,5,4-0-0 (2022-12-14),5-0-0 (2022-05-16),doi:10.4232/1.14023,doi:10.14281/18241.21,EVS5,348050007,63,348,HU,310,2018,201802,201808,3482018,1,5,-3,-3,-3,-3,-3,45,7.26,8.11,20180217,-3,-3.0,-3.0,184,hu,0.716387990752927,0.534134346103038,0.660501981505945,HU2,HU23,-4,3,1,2,2,2,2,2,2,2,1,7,10,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,-2,-2,-2,-2,-2,-2,1,2,4,1,2,5,2,2,2,2,4,-2,-2,-2,-2,-2,-2,-2,-1,3,3,-1,1,4,-2,-2,-5,1,-1,1,2,1,2,2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,8,-2,-2,-2,-2,-4,-2,7,1,10,7,1,10,10,1,7,8,8,1,1,1,4,2,4,4,1,4,4,2,3,-4,3,1,1,1,-1,1,10,1,3,1,1,7,1,2,7,2,1,1,1,5,1,1,-2,3,3,1,3,2,1,4,4,1,1992,26,2,1,1,348.0,HU,1,348,HU,1,348,HU,6,2,0,1,7,3,-3,-3,5,3,5,3,1,-3,1,26,-4,6,-3,-4,-4,-2
26613,1,5,4-0-0 (2022-12-14),5-0-0 (2022-05-16),doi:10.4232/1.14023,doi:10.14281/18241.21,EVS5,348050008,63,348,HU,310,2018,201802,201808,3482018,1,5,-3,-3,-3,-3,-3,51,9.48,10.39,20180218,-3,-3.0,-3.0,184,hu,0.70160450212188,0.534134346103038,0.660501981505945,HU2,HU23,-4,3,1,1,1,1,3,2,2,1,2,10,8,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,1,2,4,1,1,3,3,2,2,2,4,1,2,2,3,2,2,2,4,3,2,4,1,2,1,2,2,0,3,3,3,2,3,2,2,5,5,4,5,7,3,3,4,3,3,4,3,3,3,4,4,3,3,3,3,2,4,1,3,1,-4,34801,8,2,10,5,7,8,10,6,3,10,2,2,2,3,2,2,2,3,1,2,3,1,6,-4,5,1,1,1,0,1,10,1,7,3,1,8,3,5,9,9,5,3,1,6,1,2,2,3,3,1,2,3,2,3,3,2,1971,47,4,2,1,348.0,HU,1,348,HU,1,348,HU,3,1,1,3,3,2,-3,-3,3,2,3,2,1,-3,1,41,-4,6,-3,-4,-4,2
26614,1,5,4-0-0 (2022-12-14),5-0-0 (2022-05-16),doi:10.4232/1.14023,doi:10.14281/18241.21,EVS5,348050009,17,348,HU,310,2018,201802,201808,3482018,1,5,-3,-3,-3,-3,-3,33,9.17,9.5,20180219,-3,-3.0,-3.0,184,hu,0.997368358929494,0.534134346103038,0.660501981505945,HU1,HU11,-4,5,2,1,1,2,3,2,2,2,4,8,10,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,-1,0,1,2,1,2,5,-2,-2,-2,4,1,3,2,4,1,2,2,2,2,2,4,4,4,3,4,3,1,2,4,3,-1,1,-1,2,2,3,2,-1,5,10,4,6,3,1,3,4,3,3,4,3,3,3,3,4,3,2,4,3,4,3,1,3,1,-4,-2,5,2,6,5,4,9,10,1,1,10,3,1,1,2,2,1,1,1,2,1,3,1,3,-4,3,1,1,1,1,1,10,1,5,1,1,3,1,1,3,1,1,1,1,1,1,2,3,3,3,2,2,1,2,3,4,2,1993,25,2,1,1,348.0,HU,1,348,HU,1,348,HU,1,1,0,2,7,3,6,3,7,3,7,3,1,1,2,26,-4,1,21,-4,-4,8
26615,1,5,4-0-0 (2022-12-14),5-0-0 (2022-05-16),doi:10.4232/1.14023,doi:10.14281/18241.21,EVS5,348050010,77,348,HU,310,2018,201802,201808,3482018,1,5,-3,-3,-3,-3,-3,45,10.34,11.19,20180219,-3,-3.0,-3.0,184,hu,1.22746278537521,0.534134346103038,0.660501981505945,HU1,HU11,-4,5,1,1,1,2,4,1,3,2,2,7,10,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,2,2,5,1,1,3,4,3,1,1,1,2,4,2,3,2,2,4,1,4,2,2,1,3,3,1,1,1,1,1,4,3,3,3,3,5,5,7,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,4,1,3,1,-4,-1,7,1,10,7,1,7,10,5,1,10,2,2,2,2,-1,1,1,4,3,2,4,0,8,-4,7,2,0,0,0,0,1,1,5,3,3,5,1,7,10,8,1,10,1,5,1,2,2,2,3,1,2,2,4,4,4,2,1974,44,3,2,1,348.0,HU,1,348,HU,1,348,HU,3,1,0,2,3,2,-3,-3,3,2,3,2,3,-3,-3,51,-4,6,-3,-4,-4,-2
